clientName,name,vendor,productName,licenseKey,licenseType,quantity,costPerLicense,purchaseDate,expiryDate,renewalDate,purchaseRequestNumber,purchaseOrderNumber,documentUrl,status,notes
TechCorp Solutions,CrowdStrike Falcon Endpoint,CrowdStrike,Falcon Endpoint Protection,CF-TC-001-2024,per device,50,35.00,2024-01-15,2025-01-15,2024-12-15,PR-TC-001,PO-TC-001,/licenses/crowdstrike-techcorp.pdf,active,Endpoint protection for all workstations
HealthFirst Medical,Microsoft E5 Security,Microsoft,Microsoft 365 E5 Security,MS-HF-001-2024,per user,150,12.00,2024-02-15,2025-02-15,2025-01-15,PR-HF-001,PO-HF-001,/licenses/microsoft-healthfirst.pdf,active,Security suite for healthcare environment
Global Finance Corp,Splunk Enterprise Security,Splunk,Splunk Enterprise Security,SPL-GF-001-2024,per GB/day,25,150.00,2024-01-15,2025-01-15,2024-12-15,PR-GF-001,PO-GF-001,/licenses/splunk-globalfinance.pdf,active,SIEM platform for financial data monitoring
Manufacturing Plus,Tenable Nessus Professional,Tenable,Nessus Professional,TN-MP-001-2024,per scanner,5,2990.00,2024-03-01,2025-03-01,2025-02-01,PR-MP-001,PO-MP-001,/licenses/tenable-mfgplus.pdf,active,Vulnerability scanning for OT environment
EduTech University,Okta Workforce Identity,Okta,Okta Workforce Identity,OK-EU-001-2024,per user,2000,8.00,2024-09-01,2025-09-01,2025-08-01,PR-EU-001,PO-EU-001,/licenses/okta-edutech.pdf,active,Identity management for university users
RetailMax Chain,Zscaler Internet Access,Zscaler,Zscaler Internet Access,ZS-RC-001-2024,per user,250,15.00,2024-01-01,2025-01-01,2024-12-01,PR-RC-001,PO-RC-001,/licenses/zscaler-retailmax.pdf,active,Secure web gateway for retail locations
LegalEagle LLP,Proofpoint Email Protection,Proofpoint,Email Protection,PP-LE-001-2024,per user,75,6.75,2024-04-01,2025-04-01,2025-03-01,PR-LE-001,PO-LE-001,/licenses/proofpoint-legaleagle.pdf,active,Email security for law firm
PowerGrid Energy,Palo Alto Prisma Cloud,Palo Alto Networks,Prisma Cloud,PA-PG-001-2024,per workload,100,25.00,2024-01-01,2025-01-01,2024-12-01,PR-PG-001,PO-PG-001,/licenses/prisma-powergrid.pdf,active,Cloud security for critical infrastructure
BioTech Research,Carbon Black Cloud,VMware,Carbon Black Cloud,CB-BR-001-2024,per endpoint,80,42.00,2024-06-01,2025-06-01,2025-05-01,PR-BR-001,PO-BR-001,/licenses/carbonblack-biotech.pdf,active,Advanced threat protection for research systems
TransGlobal Logistics,Rapid7 InsightVM,Rapid7,InsightVM,R7-TL-001-2024,per assessed asset,300,8.50,2024-07-01,2025-07-01,2025-06-01,PR-TL-001,PO-TL-001,/licenses/rapid7-transglobal.pdf,active,Vulnerability management for logistics network 
